#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.40976     6.40976           0
           2     6.65714     6.53345    0.087459
           3     7.08254     6.71648    0.160416
           4     6.20962     6.58976    0.162843
           5     6.28526     6.52886    0.141204
           6     6.37165     6.50266    0.120076
           7     6.13861     6.45066    0.113628
           8     6.47638     6.45387   0.0994701
           9       6.314     6.43833   0.0896237
          10     5.84125     6.37862   0.0985635
          11     6.47038     6.38696   0.0899555
          12     6.60088     6.40479    0.084207
          13     6.18926     6.38821   0.0793448
          14     6.62186      6.4049    0.075412
          15      6.2028     6.39143    0.071578
          16     6.37293     6.39027   0.0671137
          17     6.35641     6.38828   0.0631954
          18     6.42744     6.39046    0.059722
          19     6.27107     6.38417   0.0569083
          20     6.09506     6.36972   0.0558687
