#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.95133     4.95133           0
           2     5.21082     5.08107   0.0917443
           3      5.2762     5.14612   0.0810008
           4     5.04896     5.12183   0.0642895
           5     4.79375     5.05621   0.0780348
           6     4.91733     5.03306   0.0683757
           7     4.99726     5.02795   0.0587988
           8     4.92464     5.01504   0.0528479
           9      4.9188     5.00434   0.0480455
          10       4.539     4.95781   0.0617956
          11     4.87592     4.95036   0.0566245
          12     4.77707     4.93592   0.0537157
          13     4.61534     4.91126   0.0549536
          14      4.9513     4.91412   0.0511027
          15     4.94916     4.91646   0.0477492
          16     4.85092     4.91236   0.0449402
          17     5.08556     4.92255   0.0434362
          18     4.97558      4.9255   0.0411228
          19     5.12262     4.93587    0.040246
          20     4.61952     4.92005   0.0412249
