#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.445316    0.445316           0
           2    0.451574    0.448445  0.00221246
           3    0.372693    0.423194   0.0206698
           4    0.363885    0.408367   0.0201298
           5    0.449942    0.416682   0.0177382
           6    0.417025    0.416739   0.0147819
           7    0.413862    0.416328   0.0126759
           8    0.387245    0.412693    0.011601
           9    0.436513     0.41534   0.0106097
          10    0.376658    0.411471   0.0102296
          11    0.406066     0.41098  0.00931141
          12    0.415046    0.411319  0.00854162
          13    0.420376    0.412015  0.00791293
          14    0.448191    0.414599  0.00775816
          15    0.407558     0.41413  0.00725514
          16    0.427469    0.414964  0.00684943
          17    0.437275    0.416276  0.00657105
          18    0.397158    0.415214  0.00629125
          19     0.39788    0.414302  0.00602591
          20    0.395449    0.413359  0.00579788
