#   N_BLOCK:  ACCEPTANCE:
           1   0.0305467
           2   0.0293054
           3   0.0291233
           4   0.0297546
           5   0.0305022
           6   0.0291433
           7   0.0295776
           8   0.0295456
           9   0.0296388
          10   0.0292732
          11   0.0292597
          12    0.028909
          13    0.028747
          14   0.0287701
          15   0.0289667
          16   0.0287044
          17   0.0287297
          18   0.0287845
          19   0.0286956
          20   0.0289909
