#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.836328    0.836328           0
           2    0.827342    0.831835  0.00317703
           3    0.814746    0.826139  0.00511059
           4    0.780404    0.814705   0.0106178
           5    0.711486    0.794061   0.0203245
           6    0.857286    0.804599   0.0194781
           7    0.781206    0.801257   0.0169798
           8     0.81963    0.803553   0.0150118
           9    0.769376    0.799756   0.0138158
          10    0.855526    0.805333   0.0135131
          11    0.767012    0.801849   0.0127257
          12      0.8083    0.802387   0.0116766
          13     0.84208     0.80544   0.0111705
          14    0.788814    0.804253   0.0104355
          15    0.770988    0.802035  0.00997268
          16    0.735642    0.797885   0.0101761
          17    0.710534    0.792747   0.0107971
          18    0.798782    0.793082   0.0102025
          19     0.82498    0.794761  0.00980269
          20    0.611182    0.785582   0.0129137
