#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.392199    0.392199           0
           2    0.378455    0.385327  0.00485935
           3    0.424977    0.398544   0.0112671
           4    0.414278    0.402477  0.00911113
           5    0.419753    0.405932  0.00791695
           6    0.382332    0.401999  0.00751127
           7    0.400591    0.401798  0.00644092
           8    0.417646    0.403779  0.00593265
           9    0.416977    0.405245  0.00545169
          10    0.357093     0.40043  0.00670387
          11    0.406267    0.400961   0.0061154
          12    0.386712    0.399773   0.0057199
          13    0.409165    0.400496  0.00532533
          14    0.417207    0.401689  0.00507697
          15    0.405526    0.401945  0.00474494
          16    0.351675    0.398803  0.00538911
          17    0.379392    0.397662  0.00519166
          18    0.406709    0.398164   0.0049275
          19    0.384846    0.397463  0.00471775
          20     0.40617    0.397899   0.0045019
