#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.560805    0.560805           0
           2    0.565051    0.562928  0.00150113
           3    0.568149    0.564668  0.00173807
           4    0.563474     0.56437  0.00132897
           5    0.553909    0.562277  0.00215218
           6     0.54738    0.559794  0.00289035
           7    0.548874    0.558234  0.00286775
           8    0.551556      0.5574  0.00262797
           9    0.554007    0.557023  0.00236284
          10    0.557518    0.557072  0.00212708
          11    0.555781    0.556955  0.00193695
          12    0.557859     0.55703    0.001777
          13    0.577667    0.558618  0.00223983
          14    0.551416    0.558103   0.0021381
          15      0.5597     0.55821   0.0019982
          16    0.574002    0.559197    0.002103
          17    0.553633    0.558869   0.0020046
          18    0.546694    0.558193  0.00200412
          19    0.554015    0.557973  0.00191066
          20    0.553509     0.55775  0.00182812
