#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.54218    -5.54218           0
           2    -5.54881    -5.54549  0.00234459
           3    -5.55475    -5.54858  0.00296394
           4    -5.54728    -5.54825  0.00224069
           5     -5.5327    -5.54514  0.00330965
           6    -5.52101    -5.54112  0.00459188
           7    -5.52223    -5.53842  0.00466202
           8    -5.52847    -5.53718  0.00424209
           9    -5.53151    -5.53655  0.00381721
          10    -5.53839    -5.53673  0.00343995
          11    -5.53477    -5.53655  0.00313185
          12    -5.53778    -5.53666  0.00287254
          13    -5.56981    -5.53921  0.00361013
          14    -5.52747    -5.53837   0.0034482
          15    -5.54313    -5.53869  0.00323288
          16     -5.5637    -5.54025  0.00338776
          17    -5.53104    -5.53971  0.00323154
          18    -5.52075    -5.53865   0.0032191
          19    -5.53058    -5.53823  0.00307762
          20    -5.52876    -5.53776  0.00295993
