       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           5     3.14643  0.00423761   0.0028339   0.0011069
           5     3.28627  0.00168842  0.00057605 0.000323237
           5     3.42611   0.0010594 0.000211881 0.000189512
           5     3.56595           0           0           0
           5     3.70579           0           0           0
           5     3.84563           0           0           0
           5     3.98547           0           0           0
           5     4.12531           0           0           0
           6   0.0699206  0.00996501   0.0106492  0.00157652
           6    0.209762    0.085911   0.0817009   0.0037598
           6    0.349603    0.241014    0.208438  0.00775264
           6    0.489444    0.414922    0.368932   0.0108178
           6    0.629285    0.506957    0.525784   0.0104868
           6    0.769126    0.674873    0.668125   0.0158851
           6    0.908968    0.766346    0.755139  0.00766181
           6     1.04881    0.783197    0.777491  0.00864749
           6     1.18865    0.743072    0.755365   0.0129961
           6     1.32849    0.694141    0.681141  0.00833903
           6     1.46833    0.593762    0.591285  0.00538319
           6     1.60817    0.487689    0.504607  0.00616536
           6     1.74801    0.377313    0.395157  0.00791639
           6     1.88786    0.276206    0.291176  0.00807514
           6      2.0277     0.17447    0.198704  0.00864647
           6     2.16754    0.125043     0.13221  0.00409661
           6     2.30738   0.0904465   0.0868434  0.00296784
           6     2.44722   0.0344637   0.0463323  0.00315655
           6     2.58706   0.0299943   0.0304082  0.00345094
           6      2.7269   0.0167518   0.0189534  0.00159436
           6     2.86674  0.00585982   0.0109085  0.00146852
           6     3.00659   0.0036748  0.00611916  0.00121208
           6     3.14643    0.003112  0.00288025 0.000923391
           6     3.28627  0.00456867  0.00124149 0.000664502
           6     3.42611  0.00201949 0.000513148 0.000317137
           6     3.56595  0.00327753 0.000546255  0.00049866
           6     3.70579  0.00192017 0.000320028 0.000292144
           6     3.84563           0           0           0
           6     3.98547           0           0           0
           6     4.12531           0           0           0
           7   0.0699206    0.014633   0.0112183  0.00145039
           7    0.209762    0.108225     0.08549  0.00476361
           7    0.349603    0.216913    0.209648    0.006739
           7    0.489444     0.37973    0.370474  0.00938171
           7    0.629285    0.526358    0.525866  0.00898902
           7    0.769126     0.66461    0.667622   0.0136237
           7    0.908968    0.720559    0.750199  0.00800286
           7     1.04881    0.743734    0.772669  0.00865297
           7     1.18865    0.758367    0.755794   0.0111466
           7     1.32849    0.756546    0.691913     0.01227
           7     1.46833    0.608064    0.593682  0.00512011
           7     1.60817     0.47256    0.500029  0.00677437
           7     1.74801    0.354436     0.38934  0.00866307
           7     1.88786     0.32282    0.295696  0.00808852
           7      2.0277    0.200591    0.198974  0.00741547
           7     2.16754    0.133319    0.132369  0.00351444
           7     2.30738   0.0764425   0.0853576  0.00289199
           7     2.44722    0.048269    0.046609  0.00271771
           7     2.58706   0.0223799   0.0292613  0.00314276
           7      2.7269   0.0141033   0.0182605  0.00150966
           7     2.86674  0.00397276  0.00991771  0.00155753
           7     3.00659  0.00268161  0.00562808  0.00113405
           7     3.14643  0.00165532  0.00270526 0.000807889
           7     3.28627           0  0.00106413 0.000592769
           7     3.42611           0 0.000439841 0.000280176
           7     3.56595           0 0.000468218 0.000433486
           7     3.70579           0  0.00027431 0.000253961
           7     3.84563           0           0           0
           7     3.98547           0           0           0
           7     4.12531           0           0           0
           8   0.0699206   0.0100643   0.0110741  0.00127625
           8    0.209762   0.0825672   0.0851247  0.00418214
           8    0.349603    0.200062     0.20845  0.00600222
           8    0.489444    0.393303    0.373328  0.00863209
           8    0.629285    0.526358    0.525927   0.0078656
           8    0.769126    0.668285    0.667705    0.011921
           8    0.908968    0.744495    0.749486  0.00703419
           8     1.04881    0.786143    0.774353  0.00773353
