#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.59969     1.59969           0
           2     1.58074     1.59021  0.00669955
           3     1.59613     1.59218   0.0047473
           4     1.56578     1.58558  0.00673534
           5     1.55154     1.57877   0.0081314
           6     1.56046     1.57572  0.00732679
           7      1.6138     1.58116  0.00804999
           8     1.59734     1.58318  0.00729324
           9     1.60824     1.58597  0.00699403
          10     1.58274     1.58564  0.00630209
          11     1.55774     1.58311   0.0062187
          12     1.61066      1.5854  0.00610971
          13     1.56577     1.58389  0.00582343
          14     1.56381     1.58246  0.00558128
          15     1.58923     1.58291   0.0052274
          16     1.58985     1.58334  0.00491865
          17     1.58221     1.58328  0.00462977
          18     1.62425     1.58555  0.00490037
          19     1.57375     1.58493  0.00468169
          20     1.58797     1.58508  0.00445006
