#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034688    0.034688           0
           2    0.038732     0.03671  0.00142977
           3    0.034536   0.0359853  0.00112189
           4     0.03128    0.034809  0.00132129
           5    0.031004    0.034048  0.00125722
           6    0.022792    0.032172   0.0020076
           7     0.03012   0.0318789  0.00174207
           8    0.039338   0.0328113  0.00175619
           9    0.043148   0.0339598  0.00189986
          10     0.03412   0.0339758  0.00170994
          11    0.025984   0.0332493  0.00170185
          12     0.03044   0.0330152  0.00157605
          13    0.038836   0.0334629  0.00151709
          14     0.03171   0.0333377  0.00141388
          15     0.02938   0.0330739  0.00134401
          16    0.037074   0.0333239  0.00128306
          17    0.036016   0.0334822  0.00121732
          18    0.031886   0.0333936  0.00115291
          19    0.028876   0.0331558  0.00111648
          20    0.029132   0.0329546  0.00107863
