#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     3.59008     3.56964  0.00207362
         169     3.55224     3.56953   0.0020639
         170     3.56099     3.56948  0.00205237
         171     3.57174      3.5695  0.00204041
         172     3.58793      3.5696  0.00203136
         173     3.59773     3.56977  0.00202612
         174     3.60268     3.56995  0.00202328
         175     3.60218     3.57014  0.00202008
         176     3.58244     3.57021  0.00200981
         177     3.56467     3.57018   0.0019987
         178     3.56293     3.57014  0.00198789
         179     3.55003     3.57002  0.00197995
         180     3.59464     3.57016  0.00197367
         181     3.60056     3.57033   0.0019699
         182     3.60912     3.57054  0.00197057
         183      3.5656     3.57052  0.00195999
         184     3.54793     3.57039  0.00195318
         185     3.57791     3.57043  0.00194304
         186     3.57799     3.57047  0.00193302
         187     3.58126     3.57053  0.00192354
         188     3.56779     3.57052  0.00191337
         189      3.5465     3.57039  0.00190746
         190     3.54485     3.57026  0.00190215
         191     3.54314     3.57011  0.00189748
         192     3.52484     3.56988   0.0019022
         193     3.52949     3.56967  0.00190382
         194     3.56859     3.56966  0.00189402
         195     3.57771      3.5697  0.00188475
         196     3.56069     3.56966   0.0018757
         197     3.54927     3.56955  0.00186903
         198     3.56246     3.56952  0.00185993
         199     3.58858     3.56961  0.00185305
         200     3.59637     3.56975  0.00184861
         201     3.56405     3.56972  0.00183963
         202     3.56442     3.56969  0.00183071
         203     3.57405     3.56972  0.00182181
         204     3.58539     3.56979   0.0018145
         205     3.55463     3.56972  0.00180716
         206     3.55663     3.56965   0.0017995
         207     3.55517     3.56958  0.00179217
         208     3.57207      3.5696  0.00178359
         209     3.55562     3.56953  0.00177631
         210     3.54598     3.56942  0.00177139
         211     3.56287     3.56939  0.00176327
         212     3.57097     3.56939  0.00175497
         213     3.55196     3.56931  0.00174863
         214     3.58107     3.56937  0.00174132
         215     3.57221     3.56938  0.00173328
         216     3.52725     3.56919  0.00173619
         217      3.5573     3.56913  0.00172905
         218     3.55488     3.56907  0.00172236
         219     3.55212     3.56899  0.00171623
         220      3.5511     3.56891  0.00171035
         221     3.55434     3.56884  0.00170388
         222     3.55627     3.56878  0.00169715
         223     3.56072     3.56875  0.00168992
         224      3.5588      3.5687  0.00168296
         225     3.57195     3.56872  0.00167555
         226     3.55504     3.56866  0.00166922
         227     3.56085     3.56862  0.00166223
         228     3.55121     3.56855  0.00165669
         229     3.56271     3.56852  0.00164965
         230     3.57336     3.56854  0.00164261
         231     3.54291     3.56843  0.00163924
         232      3.5622      3.5684   0.0016324
         233     3.56908     3.56841  0.00162539
         234     3.57892     3.56845  0.00161907
         235     3.58055      3.5685    0.001613
         236       3.586     3.56858  0.00160787
         237     3.58751     3.56866  0.00160307
         238     3.58395     3.56872  0.00159762
         239     3.56211     3.56869  0.00159117
         240     3.57333     3.56871  0.00158466
         241     3.56812     3.56871  0.00157809
         242     3.56376     3.56869   0.0015717
         243     3.60645     3.56885   0.0015729
         244     3.60839     3.56901  0.00157478
         245     3.61456     3.56919  0.00157928
         246      3.6154     3.56938    0.001584
         247     3.60817     3.56954  0.00158535
         248      3.5827     3.56959  0.00157985
         249     3.55814     3.56955  0.00157417
         250       3.554     3.56948   0.0015691
