#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.79196     1.79196           0
           2     1.78387     1.78792  0.00286156
           3      1.7796     1.78514  0.00296019
           4     1.78113     1.78414  0.00238391
           5     1.76368     1.78005  0.00412698
           6      1.7429     1.77386  0.00661588
           7     1.80407     1.77818  0.00693735
           8     1.77496     1.77777  0.00608181
           9     1.80489     1.78079  0.00610679
          10     1.76722     1.77943  0.00564472
          11     1.76046     1.77771  0.00538844
          12     1.78071     1.77796  0.00494523
          13     1.73607     1.77473  0.00551562
          14     1.73251     1.77172  0.00588879
          15     1.76928     1.77156  0.00549845
          16     1.76831     1.77135  0.00515854
          17     1.76791     1.77115  0.00485907
          18     1.82157     1.77395  0.00533592
          19     1.76117     1.77328  0.00509729
          20     1.79393     1.77431  0.00494594
