#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.247008    0.247008           0
           2    0.240271    0.243639  0.00238217
           3    0.239825    0.242368  0.00189737
           4    0.234655     0.24044  0.00219402
           5    0.233945    0.239141  0.00210491
           6    0.241118     0.23947   0.0017797
           7    0.238181    0.239286  0.00153495
           8    0.244321    0.239915  0.00146646
           9    0.241625    0.240105  0.00131577
          10    0.239424    0.240037  0.00118596
          11     0.23809     0.23986  0.00109127
          12    0.239137      0.2398  0.00100199
          13    0.242343    0.239996 0.000943822
          14    0.235541    0.239677 0.000928492
          15    0.241323    0.239787 0.000873051
          16    0.241716    0.239908 0.000826768
          17    0.239783      0.2399 0.000778167
          18    0.240341    0.239925  0.00073532
          19    0.240866    0.239974 0.000698286
          20    0.238935    0.239922 0.000665302
