#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.69288     1.69288           0
           2      1.6785     1.68569  0.00508567
           3     1.68912     1.68683  0.00351678
           4     1.66844     1.68224  0.00477587
           5     1.65547     1.67688  0.00612586
           6     1.65394     1.67306  0.00618423
           7       1.699     1.67677  0.00631422
           8     1.68903      1.6783  0.00570793
           9     1.68305     1.67883  0.00509805
          10     1.66894     1.67784  0.00468315
          11     1.67175     1.67728  0.00428996
          12     1.69134     1.67845  0.00408926
          13     1.64474     1.67586  0.00452276
          14     1.63552     1.67298  0.00503474
          15     1.65991     1.67211  0.00477391
          16     1.68317      1.6728  0.00452529
          17     1.65439     1.67172  0.00438674
          18     1.70807     1.67374  0.00458445
          19     1.65944     1.67298  0.00440448
          20     1.68157     1.67341  0.00420515
