#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.029388    0.029388           0
           2     0.03372    0.031554  0.00153159
           3    0.026944   0.0300173  0.00161765
           4    0.026636    0.029172    0.001417
           5     0.02219   0.0277756  0.00168671
           6    0.017328   0.0260343  0.00212188
           7    0.026228    0.026062  0.00181893
           8    0.033872   0.0270383  0.00183494
           9    0.035808   0.0280127  0.00187199
          10    0.028832   0.0280946  0.00168658
          11    0.021962   0.0275371  0.00162279
          12    0.022454   0.0271135  0.00154185
          13     0.03415   0.0276548  0.00151528
          14     0.02955   0.0277901  0.00141308
          15     0.02351   0.0275048  0.00134737
          16    0.034614   0.0279491  0.00133442
          17    0.029512   0.0280411  0.00125908
          18    0.026304   0.0279446  0.00119283
          19    0.023836   0.0277283  0.00114948
          20    0.024042    0.027544  0.00110668
