#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200498    0.200498           0
           2    0.200915    0.200707 0.000147457
           3    0.192536    0.197983  0.00222588
           4    0.195139    0.197272  0.00177936
           5     0.19461     0.19674  0.00150103
           6    0.200745    0.197407  0.00139141
           7    0.194932    0.197054  0.00123676
           8    0.199896    0.197409  0.00113205
           9    0.198689    0.197551  0.00101516
          10    0.198009    0.197597 0.000914677
          11    0.194826    0.197345 0.000865532
          12    0.195042    0.197153 0.000814413
          13    0.196086    0.197071 0.000755888
          14    0.194268    0.196871 0.000727938
          15    0.198275    0.196964 0.000685401
          16    0.199498    0.197123 0.000660596
          17      0.1998     0.19728 0.000640232
          18    0.200347    0.197451 0.000626929
          19    0.196343    0.197392 0.000596636
          20    0.193158    0.197181 0.000603207
