#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.307818    0.307818           0
           2    0.260104    0.283961   0.0168694
           3    0.295706    0.287876   0.0116918
           4    0.305504    0.292283  0.00956339
           5     0.33194    0.300214   0.0104336
           6    0.293196    0.299045  0.00875996
           7     0.25371    0.292568  0.00960883
           8    0.223328    0.283913    0.011672
           9    0.327846    0.288795   0.0113501
          10    0.246554    0.284571    0.010973
          11    0.280042    0.284159  0.00998313
          12    0.261164    0.282243   0.0093333
          13    0.273386    0.281561  0.00864019
          14     0.26736    0.280547  0.00808236
          15     0.24365    0.278087  0.00790899
          16    0.340032    0.281959   0.0083084
          17     0.26775    0.281123   0.0078616
          18    0.314468    0.282975  0.00763999
          19    0.309256    0.284359  0.00736203
          20    0.285148    0.284398  0.00699403
