#   N_BLOCK:  ACCEPTANCE:
           1    0.138955
           2    0.140293
           3     0.14104
           4    0.140803
           5    0.140563
           6    0.140107
           7    0.140261
           8    0.140922
           9    0.140921
          10       0.141
          11    0.141115
          12    0.141085
          13    0.141025
          14    0.141213
          15    0.141426
          16    0.141003
          17    0.141101
          18    0.140901
          19    0.140612
          20    0.140619
