#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.448772    0.448772           0
           2    0.460009    0.454391  0.00397293
           3    0.434462    0.447748  0.00603596
           4    0.454042    0.449321  0.00472766
           5    0.460045    0.451466  0.00424081
           6    0.444628    0.450327  0.00368395
           7    0.435167    0.448161  0.00374046
           8    0.463876    0.450125  0.00375347
           9    0.442966     0.44933  0.00341966
          10    0.442098    0.448607  0.00315324
          11    0.448661    0.448612  0.00286659
          12     0.42295    0.446473   0.0033312
          13    0.417838     0.44427  0.00373284
          14    0.445447    0.444354  0.00346716
          15    0.445166    0.444409  0.00323643
          16    0.452325    0.444903  0.00307174
          17    0.436398    0.444403  0.00293151
          18    0.437982    0.444046  0.00279026
          19    0.452595    0.444496  0.00267944
          20     0.45145    0.444844  0.00256793
