#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.308971    0.308971           0
           2    0.302043    0.305507  0.00244935
           3    0.305171    0.305395  0.00163546
           4    0.302779    0.304741  0.00135108
           5    0.301903    0.304173  0.00119415
           6    0.302709    0.303929  0.00101977
           7     0.30344    0.303859 0.000876476
           8     0.31456    0.305197  0.00146757
           9    0.306076    0.305295  0.00130775
          10    0.303992    0.305164  0.00118345
          11     0.30498    0.305148  0.00107598
          12    0.302314    0.304912   0.0010119
          13    0.301785    0.304671  0.00096221
          14    0.308443     0.30494 0.000930429
          15    0.306192    0.305024 0.000872133
          16    0.308781    0.305259 0.000848646
          17    0.305392    0.305267 0.000798762
          18    0.304756    0.305238  0.00075489
          19    0.302998     0.30512 0.000724304
          20    0.304384    0.305083 0.000689023
