#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.71484     2.71484           0
           2     2.72992     2.72238   0.0053311
           3     2.64233      2.6957   0.0220747
           4     2.75831     2.71135    0.021397
           5      2.7799     2.72506   0.0210565
           6     2.73214     2.72624   0.0175801
           7     2.91213      2.7528    0.028836
           8     2.81025     2.75998   0.0261104
           9     2.70032     2.75335    0.024036
          10     2.65084      2.7431   0.0237176
          11     2.74031     2.74284   0.0215628
          12     2.68014     2.73762   0.0203892
          13     2.57981     2.72548   0.0221417
          14     2.66071     2.72085   0.0210379
          15     2.73225     2.72161   0.0196491
          16     2.71486     2.72119   0.0184255
          17     2.74584     2.72264   0.0173986
          18     2.75408     2.72439   0.0165195
          19     2.60496      2.7181   0.0168033
          20     2.69057     2.71673   0.0160195
