#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.046394    0.046394           0
           2    0.050874    0.048634  0.00158392
           3     0.04481   0.0473593  0.00148263
           4    0.043748   0.0464565  0.00135935
           5    0.044314    0.046028  0.00115304
           6    0.036726   0.0444777  0.00171062
           7    0.039976   0.0438346  0.00158252
           8    0.053152   0.0449993  0.00176191
           9    0.054724   0.0460798  0.00186832
          10    0.035336   0.0450054  0.00196628
          11     0.03681   0.0442604   0.0019235
          12     0.04042   0.0439403  0.00178964
          13    0.047822   0.0442389   0.0016767
          14    0.049454   0.0446114  0.00159778
          15    0.038626   0.0442124  0.00154028
          16    0.050036   0.0445764  0.00148639
          17     0.04679   0.0447066  0.00140465
          18    0.049356   0.0449649  0.00135015
          19    0.042046   0.0448113   0.0012878
          20    0.036038   0.0443726  0.00129597
