#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.18773     2.18773           0
           2     2.15262     2.17017    0.012415
           3     2.17104     2.17046  0.00828001
           4     2.18147     2.17321   0.0066516
           5     2.22401     2.18337   0.0105308
           6     2.15379     2.17844  0.00986289
           7      2.2542     2.18926   0.0131101
           8     2.16886     2.18671   0.0117166
           9     2.17745     2.18568   0.0104599
          10     2.18599     2.18572  0.00941399
          11     2.14658     2.18216  0.00920594
          12     2.19282     2.18305  0.00848153
          13     2.09062     2.17594   0.0103899
          14     2.12254     2.17212    0.010324
          15     2.17949     2.17261  0.00964743
          16     2.12237     2.16947  0.00954196
          17     2.17216     2.16963  0.00898198
          18     2.17225     2.16978  0.00848416
          19     2.11613     2.16695  0.00849444
          20     2.16093     2.16665  0.00807505
