exp_id,epochs,n_points,sigma,epoch,train_loss,val_loss
0,10,100,0.05,1,0.9977954030036926,1.0143682956695557
0,10,100,0.05,2,0.8927178382873535,0.9099545478820801
0,10,100,0.05,3,0.7993499636650085,0.8168333172798157
0,10,100,0.05,4,0.7163582444190979,0.7337517738342285
0,10,100,0.05,5,0.6425622701644897,0.6595978736877441
0,10,100,0.05,6,0.5769170522689819,0.5933849215507507
0,10,100,0.05,7,0.5184977650642395,0.53423672914505
0,10,100,0.05,8,0.4664851129055023,0.481375515460968
0,10,100,0.05,9,0.42015427350997925,0.4341105818748474
0,10,100,0.05,10,0.378863126039505,0.3918286859989166
1,10,100,0.2,1,2.7916998863220215,2.4899919033050537
1,10,100,0.2,2,2.6383938789367676,2.3331761360168457
1,10,100,0.2,3,2.495821237564087,2.1883139610290527
1,10,100,0.2,4,2.363037109375,2.0543437004089355
1,10,100,0.2,5,2.2391929626464844,1.9303077459335327
1,10,100,0.2,6,2.123526096343994,1.815342664718628
1,10,100,0.2,7,2.0153510570526123,1.7086684703826904
1,10,100,0.2,8,1.9140501022338867,1.6095807552337646
1,10,100,0.2,9,1.8190662860870361,1.5174421072006226
1,10,100,0.2,10,1.7298974990844727,1.431675910949707
2,10,100,0.5,1,3.7274749279022217,3.183295726776123
2,10,100,0.5,2,3.5404014587402344,2.9976720809936523
2,10,100,0.5,3,3.3657307624816895,2.82574725151062
2,10,100,0.5,4,3.202420473098755,2.66633939743042
2,10,100,0.5,5,3.0495331287384033,2.518380641937256
2,10,100,0.5,6,2.9062228202819824,2.3809051513671875
2,10,100,0.5,7,2.7717273235321045,2.2530391216278076
2,10,100,0.5,8,2.6453566551208496,2.133991241455078
2,10,100,0.5,9,2.5264878273010254,2.0230445861816406
2,10,100,0.5,10,2.414555311203003,1.9195483922958374
3,10,100,1.0,1,5.864010810852051,4.790514945983887
3,10,100,1.0,2,5.612236976623535,4.551443576812744
3,10,100,1.0,3,5.376063346862793,4.329301357269287
3,10,100,1.0,4,5.154265403747559,4.122686386108398
3,10,100,1.0,5,4.945733070373535,3.9303269386291504
3,10,100,1.0,6,4.7494635581970215,3.7510693073272705
3,10,100,1.0,7,4.564547061920166,3.5838675498962402
3,10,100,1.0,8,4.3901567459106445,3.4277710914611816
3,10,100,1.0,9,4.225540637969971,3.2819149494171143
