#   N_BLOCK:  ACCEPTANCE:
           1    0.291606
           2    0.292161
           3    0.292433
           4    0.292249
           5     0.29237
           6    0.292631
           7     0.29271
           8    0.292911
           9    0.293173
          10    0.292937
          11    0.292933
          12    0.293035
          13    0.292962
          14    0.292958
          15    0.292732
          16    0.292803
          17    0.292708
          18     0.29267
          19    0.292665
          20    0.292773
