#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.394477    0.394477           0
           2    0.385093    0.389785  0.00331786
           3    0.390746    0.390105  0.00222732
           4    0.385445     0.38894  0.00195152
           5    0.383003    0.387753  0.00188825
           6    0.390742    0.388251  0.00163795
           7    0.380852    0.387194  0.00171133
           8    0.383799     0.38677  0.00154915
           9    0.389506    0.387074  0.00140655
          10    0.371505    0.385517  0.00194526
          11    0.390701    0.385988  0.00182462
          12    0.383181    0.385754   0.0016875
          13    0.383483    0.385579  0.00156671
          14    0.371999    0.384609  0.00172923
          15    0.390783    0.385021  0.00166221
          16    0.383689    0.384938  0.00156041
          17    0.378604    0.384565  0.00151245
          18    0.389894    0.384861  0.00145711
          19    0.388385    0.385047  0.00139217
          20    0.392474    0.385418   0.0013712
