#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.319753    0.319753           0
           2     0.31269    0.316221  0.00249723
           3    0.316109    0.316184   0.0016651
           4    0.310376    0.314732  0.00177215
           5    0.315721     0.31493  0.00142871
           6    0.316572    0.315203  0.00121652
           7     0.31486    0.315154  0.00104372
           8     0.32616     0.31653  0.00157798
           9    0.317518     0.31664  0.00140646
          10    0.316523    0.316628  0.00126587
          11    0.316046    0.316575   0.0011519
          12    0.313086    0.316284    0.001092
          13    0.313807    0.316094  0.00102449
          14    0.320798     0.31643  0.00100491
          15    0.318858    0.316592 0.000950861
          16    0.318474    0.316709 0.000898678
          17    0.320638     0.31694  0.00087503
          18    0.318368     0.31702 0.000830002
          19    0.314306    0.316877 0.000798509
          20    0.311294    0.316598 0.000805893
