#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.822188    0.822188           0
           2    0.843744    0.832966   0.0076212
           3     0.78778    0.817904   0.0133063
           4    0.883788    0.834375   0.0174088
           5    0.748484    0.817197   0.0207373
           6     0.78232    0.811384   0.0180774
           7    0.887086    0.822199   0.0184483
           8    0.751314    0.813338   0.0181457
           9    0.845854    0.816951   0.0164853
          10    0.831082    0.818364   0.0148972
          11    0.737898    0.811049   0.0152334
          12    0.914974    0.819709   0.0162402
          13    0.804476    0.818538   0.0150332
          14    0.843194    0.820299   0.0140622
          15    0.580118    0.804287   0.0202867
          16    0.881434    0.809108   0.0195834
          17    0.853684     0.81173   0.0186062
          18    0.767784    0.809289    0.017732
          19    0.809938    0.809323   0.0167987
          20    0.881166    0.812915   0.0163383
