#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.357589    0.357589           0
           2    0.354899    0.356244  0.00095115
           3    0.353225    0.355238  0.00103773
           4    0.357981    0.355923 0.000979069
           5     0.36093    0.356925  0.00118978
           6    0.365733    0.358393  0.00166709
           7    0.349368    0.357104  0.00186192
           8    0.360138    0.357483  0.00166738
           9    0.356809    0.357408  0.00148379
          10    0.353777    0.357045  0.00137912
          11    0.364877    0.357757  0.00142576
          12    0.343687    0.356584  0.00172289
          13    0.357349    0.356643  0.00159136
          14     0.36853    0.357492  0.00168909
          15    0.359819    0.357647  0.00158359
          16    0.355751    0.357529  0.00148905
          17    0.361046    0.357736  0.00141576
          18    0.354041    0.357531   0.0013519
          19    0.362983    0.357818  0.00131085
          20    0.351699    0.357512   0.0012805
