#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.097312    0.097312           0
           2    0.090168     0.09374  0.00252579
           3     0.07833   0.0886033  0.00451947
           4    0.075262    0.085268   0.0044534
           5    0.077138    0.083642  0.00384812
           6    0.076656   0.0824777  0.00337833
           7    0.082684   0.0825071  0.00289584
           8    0.092658    0.083776  0.00279807
           9    0.086186   0.0840438  0.00249995
          10     0.07271   0.0829104  0.00249367
          11    0.071826   0.0819027  0.00246217
          12    0.085302    0.082186  0.00227322
          13    0.083382    0.082278  0.00210022
          14    0.094106   0.0831229  0.00211331
          15    0.070174   0.0822596  0.00214149
          16    0.083082    0.082311  0.00200827
          17    0.075534   0.0819124   0.0019293
          18    0.075122   0.0815351  0.00185863
          19    0.075218   0.0812026   0.0017903
          20     0.07809    0.081047  0.00170753
