#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.892388    0.892388           0
           2    0.928096    0.910242   0.0126247
           3    0.947454    0.922646   0.0131685
           4    0.940222     0.92704   0.0105841
           5    0.895418    0.920716    0.010183
           6    0.865992    0.911595   0.0118882
           7    0.948864    0.916919   0.0113195
           8    0.735064    0.894187   0.0234574
           9    0.927218    0.897857   0.0211361
          10    0.927288      0.9008   0.0192263
          11    0.897652    0.900514   0.0174806
          12     0.94981    0.904622   0.0164995
          13     0.93902    0.907268    0.015441
          14    0.925174    0.908547    0.014391
          15    0.884606    0.906951   0.0135198
          16    0.946812    0.909442   0.0129023
          17    0.889712    0.908282   0.0121954
          18     0.80465    0.902524    0.012805
          19     0.88458     0.90158   0.0121658
          20    0.909634    0.901983   0.0115642
