#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.8258      2.8258           0
           2     2.69933     2.76257   0.0447155
           3     2.72118     2.74877   0.0318674
           4     2.70587     2.73805   0.0256422
           5     2.77245     2.74493   0.0214171
           6     2.65925     2.73065    0.022101
           7     2.74903     2.73327   0.0190992
           8      2.8512     2.74801   0.0216661
           9     2.72799     2.74579   0.0193727
          10     2.75513     2.74672   0.0174579
          11     2.74365     2.74645   0.0158731
          12     2.64295     2.73782   0.0167303
          13     2.78865     2.74173   0.0158936
          14     2.78491     2.74481   0.0150546
          15     2.69289     2.74135   0.0144435
          16     2.81175     2.74575   0.0141951
          17     2.71962     2.74422    0.013443
          18      2.7127     2.74246   0.0128098
          19     2.71216     2.74087   0.0122345
          20     2.75518     2.74158   0.0116436
