#   N_BLOCK:  ACCEPTANCE:
           1    0.469656
           2    0.471424
           3    0.471586
           4     0.47144
           5    0.471632
           6    0.471885
           7    0.471702
           8    0.471717
           9    0.472066
          10    0.471988
          11    0.472042
          12    0.472028
          13    0.472083
          14    0.472046
          15    0.472068
          16    0.471972
          17    0.471905
          18    0.471887
          19    0.471762
          20    0.471712
