#   N_BLOCK:  ACCEPTANCE:
           1    0.315754
           2    0.317404
           3    0.317504
           4    0.317705
           5     0.31776
           6    0.317816
           7    0.317758
           8     0.31772
           9    0.317926
          10    0.317655
          11    0.317579
          12    0.317539
          13    0.317312
          14     0.31753
          15    0.317423
          16    0.317414
          17    0.317346
          18    0.317367
          19    0.317267
          20    0.317312
