#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.67621     1.67621           0
           2     1.65364     1.66492  0.00797774
           3     1.71483     1.68156    0.014587
           4     1.74113     1.69645   0.0169129
           5     1.73154     1.70347   0.0149153
           6      1.6297     1.69118   0.0167468
           7      1.6515     1.68551   0.0152833
           8     1.67663      1.6844   0.0134131
           9     1.64843      1.6804   0.0125039
          10     1.67461     1.67982   0.0112669
          11     1.68828     1.68059   0.0102689
          12     1.71164     1.68318  0.00973369
          13     1.66717     1.68195  0.00906248
          14     1.70929      1.6839  0.00862307
          15     1.65566     1.68202  0.00825116
          16     1.68081     1.68194  0.00773581
          17     1.66157     1.68075  0.00737304
          18      1.6512      1.6791  0.00714379
          19     1.71551     1.68102  0.00702006
          20     1.74638     1.68429  0.00739078
