#   N_BLOCK:  ACCEPTANCE:
           1    0.494988
           2    0.495945
           3    0.495744
           4    0.495331
           5    0.495433
           6    0.495791
           7    0.495677
           8    0.495777
           9    0.495797
          10    0.495748
          11    0.495772
          12    0.495656
          13    0.495643
          14    0.495705
          15    0.495757
          16    0.495627
          17    0.495692
          18    0.495667
          19    0.495539
          20    0.495546
