#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.39053     0.39053           0
           2    0.385542    0.388036  0.00176322
           3    0.369541    0.381871  0.00516909
           4    0.351835    0.374362  0.00757092
           5    0.381486    0.375787  0.00618937
           6      0.3493    0.371372  0.00654538
           7    0.378744    0.372426  0.00569441
           8    0.284265    0.361405   0.0114494
           9    0.347844    0.359899   0.0102759
          10    0.291453    0.353054   0.0113002
          11    0.343206    0.352159   0.0103083
          12    0.341072    0.351235  0.00949061
          13    0.339176    0.350307  0.00880578
          14    0.366553    0.351468   0.0082529
          15    0.293955    0.347633  0.00854707
          16    0.330998    0.346594  0.00807587
          17    0.334901    0.345906  0.00763005
          18    0.333886    0.345238  0.00723532
          19    0.365843    0.346323  0.00693531
          20    0.296462     0.34383  0.00702235
