#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.56294     2.56294           0
           2     2.41498     2.48896   0.0523127
           3     2.55081     2.50958   0.0387256
           4     2.53743     2.51654   0.0296635
           5     2.49572     2.51237   0.0240212
           6     2.57446     2.52272   0.0221347
           7     2.57631     2.53038   0.0202532
           8     2.54118     2.53173   0.0177665
           9     2.46004     2.52376   0.0174871
          10     2.58155     2.52954   0.0166658
          11     2.44772      2.5221   0.0167285
          12     2.55501     2.52485   0.0155575
          13     2.51007     2.52371   0.0144022
          14     2.50323     2.52225   0.0134475
          15     2.49101     2.52016   0.0127112
          16     2.51779     2.52002   0.0119177
          17     2.52014     2.52002   0.0112166
          18     2.62045      2.5256   0.0119003
          19     2.55185     2.52698   0.0113539
          20     2.54839     2.52805   0.0108365
