#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.29139     0.29139           0
           2    0.293601    0.292495 0.000781691
           3     0.29044     0.29181 0.000764571
           4    0.290206    0.291409 0.000670407
           5    0.290299    0.291187 0.000571907
           6    0.290341    0.291046 0.000493652
           7    0.296789    0.291867 0.000869428
           8    0.299341    0.292801  0.00115873
           9    0.295683    0.293121  0.00107333
          10    0.297421    0.293551  0.00104859
          11    0.292784    0.293481 0.000955579
          12    0.293427    0.293477 0.000875958
          13    0.303946    0.294282   0.0011191
          14    0.290503    0.294012  0.00107123
          15    0.288081    0.293617   0.0010703
          16    0.295449    0.293731  0.00100952
          17    0.289554    0.293486 0.000979585
          18    0.293811    0.293504 0.000925331
          19    0.288934    0.293263 0.000907344
          20    0.300111    0.293606 0.000924318
