#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.046784    0.046784           0
           2    0.044116     0.04545  0.00094328
           3    0.040266    0.043722   0.0015447
           4    0.055002    0.046542  0.00270305
           5    0.045762    0.046386  0.00216694
           6     0.03751   0.0449067  0.00225489
           7    0.044488   0.0448469  0.00193356
           8     0.04904    0.045371  0.00176147
           9     0.05112   0.0460098  0.00167758
          10     0.03848   0.0452568  0.00167028
          11    0.047754   0.0454838  0.00153379
          12    0.041296   0.0451348  0.00144513
          13     0.04518   0.0451383  0.00133397
          14    0.049424   0.0454444  0.00127333
          15    0.049088   0.0456873  0.00121139
          16    0.042252   0.0454726  0.00115455
          17    0.052684   0.0458968  0.00116195
          18    0.047528   0.0459874  0.00110092
          19    0.045444   0.0459588  0.00104335
          20    0.044048   0.0458633  0.00099555
