#   N_BLOCK:  ACCEPTANCE:
           1    0.415774
           2    0.416741
           3     0.41703
           4    0.416965
           5    0.416915
           6    0.417175
           7     0.41704
           8    0.417028
           9    0.417193
          10    0.416919
          11    0.416955
          12    0.416954
          13    0.417049
          14    0.417068
          15    0.417128
          16    0.417183
          17    0.417243
          18    0.417246
          19    0.417245
          20    0.417333
