#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.564212    0.564212           0
           2    0.583728     0.57397  0.00689995
           3    0.539022    0.562321   0.0105656
           4    0.467716     0.53867   0.0219619
           5     0.51834    0.534604    0.017942
           6    0.559592    0.538768   0.0154274
           7    0.511898     0.53493   0.0136927
           8      0.5365    0.535126   0.0119826
           9     0.47924    0.528916   0.0121541
          10    0.542318    0.530257   0.0110123
          11    0.613968    0.537867   0.0123642
          12    0.561474    0.539834   0.0114893
          13    0.504286      0.5371    0.010926
          14    0.486852     0.53351   0.0107189
          15    0.474312    0.529564   0.0107062
          16     0.47633    0.526237   0.0105414
          17    0.572166    0.528938   0.0102617
          18     0.55913    0.530616  0.00982772
          19    0.550622    0.531669  0.00936671
          20    0.561176    0.533144  0.00901382
