#   N_BLOCK:  ACCEPTANCE:
           1    0.060201
           2   0.0618429
           3   0.0653305
           4   0.0670706
           5    0.066859
           6   0.0660952
           7   0.0663654
           8    0.066338
           9   0.0662135
          10   0.0654976
          11   0.0660247
          12   0.0657795
          13   0.0655096
          14   0.0657917
          15   0.0659834
          16   0.0656602
          17   0.0656201
          18    0.065765
          19   0.0656144
          20   0.0655126
