#   N_BLOCK:  ACCEPTANCE:
           1    0.327957
           2    0.329717
           3    0.330036
           4    0.330727
           5     0.33054
           6    0.330482
           7     0.33051
           8     0.33058
           9    0.330704
          10    0.330466
          11    0.330399
          12    0.330484
          13    0.330265
          14    0.330423
          15    0.330319
          16    0.330301
          17    0.330388
          18    0.330277
          19    0.330249
          20    0.330306
