#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.08577     0.08577           0
           2    0.070468    0.078119  0.00541007
           3    0.072916   0.0763847  0.00387475
           4     0.07311    0.075566   0.0029913
           5     0.07035   0.0745228  0.00256851
           6    0.080874   0.0755813  0.00234844
           7    0.085246    0.076962  0.00238451
           8    0.065784   0.0755647  0.00246201
           9    0.077516   0.0757816  0.00219798
          10    0.074704   0.0756738  0.00198082
          11     0.06753   0.0749335  0.00193416
          12    0.068868    0.074428  0.00183784
          13    0.080496   0.0748948  0.00175474
          14    0.063334    0.074069  0.00181332
          15    0.074704   0.0741113  0.00169293
          16    0.076136   0.0742379  0.00159184
          17    0.089228   0.0751196  0.00172523
          18    0.067904   0.0747188  0.00167531
          19    0.077916   0.0748871  0.00159556
          20    0.082214   0.0752534  0.00155727
