#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.042284    0.042284           0
           2    0.046592    0.044438  0.00152311
           3    0.040958    0.043278  0.00138857
           4    0.039352   0.0422965  0.00134427
           5    0.038708   0.0415788  0.00125244
           6    0.028796   0.0394483   0.0022072
           7     0.03348   0.0385957  0.00204996
           8    0.041942    0.039014  0.00183589
           9    0.049076    0.040132  0.00194272
          10    0.036712     0.03979  0.00177829
          11     0.03658   0.0394982   0.0016404
          12    0.037408    0.039324  0.00151292
          13    0.044212      0.0397  0.00144251
          14    0.040694    0.039771  0.00134122
          15    0.036928   0.0395815  0.00126512
          16     0.04475   0.0399045   0.0012266
          17    0.040778   0.0399559  0.00115552
          18    0.040536   0.0399881  0.00109178
          19    0.035136   0.0397327  0.00106376
          20    0.035188   0.0395055  0.00103456
