#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.40118     0.40118           0
           2    0.400081     0.40063 0.000388733
           3    0.394594    0.398618  0.00166333
           4    0.395894    0.397937  0.00137987
           5    0.396482    0.397646  0.00113419
           6    0.406072     0.39905  0.00159272
           7    0.391909     0.39803  0.00166006
           8    0.391681    0.397237  0.00163127
           9    0.401177    0.397674  0.00150763
          10    0.394285    0.397335  0.00139445
          11    0.385295    0.396241  0.00164203
          12    0.387434    0.395507  0.00166113
          13     0.39589    0.395536  0.00153361
          14    0.399888    0.395847  0.00145523
          15    0.389603    0.395431   0.0014165
          16    0.387471    0.394934  0.00141262
          17    0.399035    0.395175  0.00134997
          18    0.405888     0.39577  0.00140004
          19    0.396575    0.395812  0.00132699
          20    0.392806    0.395662  0.00126913
