#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.117198    0.117198           0
           2    0.128808    0.123003  0.00410475
           3     0.12526    0.123755   0.0028046
           4    0.085392    0.114164  0.00856811
           5    0.088914    0.109114  0.00820895
           6    0.113192    0.109794  0.00686886
           7    0.113154    0.110274  0.00590435
           8    0.137308    0.113653  0.00605662
           9    0.115056    0.113809  0.00538566
          10     0.10915    0.113343  0.00486721
          11    0.101508    0.112267   0.0045421
          12     0.12584    0.113398  0.00430211
          13    0.114266    0.113465   0.0039717
          14     0.12492    0.114283  0.00377134
          15    0.099692    0.113311  0.00364321
          16    0.108228    0.112993  0.00342933
          17    0.094912    0.111929  0.00338853
          18     0.10396    0.111487  0.00322907
          19     0.10039    0.110903  0.00311149
          20    0.103652     0.11054  0.00297696
