#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409785    0.409785           0
           2    0.410025    0.409905 8.48245e-05
           3    0.411787    0.410532 0.000515115
           4    0.408888    0.410121 0.000525368
           5    0.403352    0.408768  0.00128172
           6    0.409372    0.408868  0.00107206
           7    0.402612    0.407975  0.00123655
           8    0.403639    0.407433  0.00119484
           9    0.409294     0.40764  0.00107983
          10    0.401918    0.407067  0.00111313
          11    0.398143    0.406256  0.00127373
          12    0.405078    0.406158  0.00117136
          13    0.409013    0.406378  0.00110165
          14    0.414113     0.40693  0.00115323
          15    0.412358    0.407292   0.0011317
          16    0.402061    0.406965  0.00110719
          17    0.412321     0.40728  0.00108596
          18    0.426253    0.408334  0.00144956
          19     0.40596    0.408209  0.00137864
          20    0.404353    0.408016  0.00132312
