#   N_BLOCK:  ACCEPTANCE:
           1     0.51689
           2    0.517604
           3    0.517602
           4    0.517418
           5      0.5174
           6    0.517624
           7    0.517342
           8    0.517369
           9    0.517483
          10    0.517468
          11    0.517512
          12    0.517391
          13    0.517307
          14    0.517359
          15    0.517462
          16    0.517396
          17    0.517465
          18    0.517473
          19    0.517408
          20    0.517405
