#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.044822    0.044822           0
           2    0.050124    0.047473  0.00187454
           3     0.04292   0.0459553  0.00175991
           4    0.039758    0.044406  0.00188216
           5    0.040544   0.0436336  0.00165666
           6    0.033734   0.0419837  0.00204315
           7    0.037354   0.0413223  0.00185524
           8    0.048288    0.042193   0.0018162
           9    0.050522   0.0431184  0.00183509
          10    0.035698   0.0423764  0.00179535
          11    0.037566   0.0419391  0.00168456
          12    0.038944   0.0416895  0.00156256
          13    0.044326   0.0418923  0.00145546
          14    0.044036   0.0420454  0.00135953
          15    0.039136   0.0418515  0.00128266
          16    0.047266   0.0421899  0.00124634
          17    0.043832   0.0422865  0.00117676
          18    0.046396   0.0425148  0.00113331
          19     0.03972   0.0423677  0.00108317
          20    0.036888   0.0420937   0.0010631
