#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431279    0.431279           0
           2     0.43109    0.431184 6.68081e-05
           3    0.454736    0.439035  0.00640996
           4    0.460919    0.444506   0.0067499
           5    0.436902    0.442985  0.00556861
           6    0.438692     0.44227  0.00468624
           7    0.429871    0.440498  0.00433863
           8    0.440536    0.440503   0.0037963
           9    0.450997    0.441669  0.00354903
          10    0.432835    0.440786  0.00330225
          11    0.446083    0.441267  0.00303696
          12    0.434406    0.440695   0.0028372
          13    0.436398    0.440365  0.00263814
          14    0.438285    0.440216  0.00245389
          15    0.436678     0.43998   0.0023016
          16    0.440385    0.440006  0.00215789
          17    0.437492    0.439858  0.00203602
          18    0.434486    0.439559  0.00194465
          19    0.446727    0.439937  0.00187853
          20    0.428932    0.439386  0.00186345
