#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505512   -0.505512           0
           2   -0.502324   -0.503918  0.00112713
           3     -0.5041   -0.503979  0.00075305
           4   -0.506664    -0.50465 0.000810556
           5   -0.504464   -0.504613 0.000649298
           6     -0.5027   -0.504294 0.000614381
           7   -0.506176   -0.504563 0.000582476
           8   -0.504392   -0.504542 0.000510058
           9     -0.5051   -0.504604 0.000457144
          10   -0.504068    -0.50455 0.000414555
          11   -0.504128   -0.504512 0.000378639
          12   -0.505372   -0.504583 0.000353809
          13    -0.50422   -0.504555 0.000327695
          14   -0.504588   -0.504558 0.000304296
          15    -0.50366   -0.504498 0.000289835
          16    -0.50672   -0.504637 0.000303175
          17   -0.504284   -0.504616  0.00028605
          18   -0.504264   -0.504596 0.000270826
          19   -0.507024   -0.504724 0.000285122
          20   -0.504144   -0.504695 0.000272338
