#   N_BLOCK:  ACCEPTANCE:
           1    0.490793
           2    0.491407
           3    0.490906
           4    0.490447
           5    0.490691
           6    0.490712
           7    0.490478
           8    0.490504
           9    0.490708
          10    0.490748
          11    0.490792
          12     0.49081
          13    0.490848
          14     0.49093
          15    0.490905
          16    0.490794
          17    0.490866
          18    0.490853
          19    0.490722
          20    0.490681
