#   N_BLOCK:  ACCEPTANCE:
           1   0.0268019
           2   0.0265659
           3   0.0281311
           4    0.027923
           5   0.0278972
           6   0.0273755
           7   0.0278599
           8   0.0275338
           9   0.0272599
          10   0.0264183
          11   0.0260331
          12   0.0260365
          13   0.0260933
          14   0.0264171
          15   0.0260341
          16   0.0257288
          17   0.0254155
          18   0.0257994
          19   0.0257144
          20   0.0258847
