#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.286574    0.286574           0
           2    0.302482    0.294528  0.00562433
           3    0.320982    0.303346  0.00811771
           4     0.28902    0.299765  0.00683283
           5    0.235516    0.286915   0.0127268
           6    0.259586     0.28236   0.0113916
           7    0.272122    0.280897  0.00985769
           8     0.34591    0.289024   0.0114972
           9    0.295906    0.289789   0.0102451
          10     0.28031    0.288841  0.00926434
          11    0.316654    0.291369  0.00876037
          12     0.31978    0.293737  0.00834414
          13    0.285278    0.293086  0.00772761
          14     0.30825    0.294169  0.00725115
          15     0.26517    0.292236  0.00702073
          16    0.245622    0.289323  0.00716095
          17    0.276506    0.288569  0.00677929
          18    0.286816    0.288471  0.00640336
          19    0.258466    0.286892  0.00625805
          20    0.294648     0.28728  0.00595715
