#   N_BLOCK:  ACCEPTANCE:
           1    0.217995
           2    0.218165
           3    0.217229
           4    0.217019
           5    0.217298
           6    0.217028
           7    0.217116
           8    0.217614
           9    0.217548
          10    0.217476
          11    0.217667
          12    0.217538
          13    0.217452
          14    0.217599
          15    0.217416
          16    0.217429
          17    0.217445
          18    0.217528
          19    0.217445
          20    0.217531
