#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.45087     8.45087           0
           2     8.14992     8.30039    0.106401
           3     8.95743     8.51941    0.192378
           4     8.36709     8.48133    0.148004
           5     8.50556     8.48618    0.118483
           6     9.35167     8.63042    0.164586
           7     8.83518     8.65968     0.14365
           8     8.24623       8.608    0.134669
           9     8.85736      8.6357    0.122523
          10     9.03736     8.67587    0.116669
          11     8.42621     8.65317    0.108248
          12     8.93823     8.67693      0.1018
          13     8.61398     8.67208   0.0940844
          14     8.93715     8.69102   0.0892489
          15     9.43856     8.74085    0.096212
          16     8.45075     8.72272   0.0918913
          17     8.60869     8.71601   0.0867304
          18     8.34533     8.69542   0.0843215
          19     9.11644     8.71758   0.0827439
          20     8.63669     8.71354   0.0787055
