#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.132362    0.132362           0
           2     0.14773    0.140046  0.00543341
           3    0.126908    0.135667  0.00508985
           4    0.150622    0.139406  0.00500566
           5    0.142426     0.14001  0.00404081
           6    0.148264    0.141385  0.00359391
           7    0.162984    0.144471  0.00420117
           8    0.126688    0.142248  0.00422334
           9    0.139396    0.141931  0.00376595
          10    0.134792    0.141217  0.00345636
          11    0.158964    0.142831  0.00349848
          12    0.150598    0.143478  0.00326627
          13    0.129364    0.142392  0.00319036
          14    0.154058    0.143225  0.00306936
          15    0.137414    0.142838  0.00288909
          16    0.163044    0.144101  0.00297174
          17    0.125226    0.142991  0.00299718
          18    0.163856     0.14415   0.0030466
          19    0.156178    0.144783  0.00295129
          20    0.141656    0.144626  0.00280786
