#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.451236    0.451236           0
           2    0.463114    0.457175  0.00419947
           3    0.453398    0.455916   0.0029824
           4    0.434864    0.450653  0.00507706
           5    0.450907    0.450704   0.0040619
           6    0.427907    0.446904  0.00484636
           7    0.432783    0.444887  0.00455454
           8    0.438795    0.444125  0.00404838
           9    0.444241    0.444138  0.00359858
          10    0.427879    0.442512   0.0035873
          11     0.44029     0.44231  0.00326687
          12    0.432329    0.441479  0.00309871
          13    0.438681    0.441263  0.00286782
          14    0.456493    0.442351  0.00286187
          15    0.442069    0.442332  0.00267114
          16    0.457673    0.443291  0.00267073
          17    0.438294    0.442997  0.00252975
          18     0.42963    0.442255  0.00249584
          19    0.451105     0.44272  0.00240755
          20    0.449255    0.443047  0.00230924
