#   N_BLOCK:  ACCEPTANCE:
           1    0.164757
           2    0.164796
           3    0.164743
           4    0.163753
           5    0.163819
           6    0.163712
           7    0.163701
           8    0.164107
           9    0.164319
          10      0.1642
          11    0.164297
          12    0.164242
          13    0.164099
          14    0.164209
          15    0.164249
          16    0.164126
          17    0.164158
          18    0.163796
          19    0.163786
          20    0.163838
