#   N_BLOCK:  ACCEPTANCE:
           1    0.444361
           2     0.44608
           3    0.446035
           4    0.445914
           5    0.445822
           6    0.446119
           7    0.445732
           8      0.4457
           9    0.445926
          10      0.4457
          11    0.445735
          12    0.445621
          13    0.445604
          14    0.445558
          15    0.445654
          16    0.445682
          17    0.445745
          18     0.44571
          19    0.445566
          20    0.445629
