#   N_BLOCK:  ACCEPTANCE:
           1    0.465557
           2     0.46696
           3    0.466391
           4    0.466132
           5    0.466245
           6     0.46672
           7    0.466593
           8    0.466637
           9    0.466883
          10    0.466871
          11    0.466923
          12    0.466951
          13    0.466922
          14    0.466918
          15    0.466903
          16    0.466885
          17    0.466861
          18    0.466821
          19    0.466691
          20    0.466645
